Episode,Success,Steps,Reward,PathDistance
6,0,0,0,0
6,0,0,0,0
6,0,0,0,0
4,0,163,-4.032567,35.74927
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
4,0,188,-2.037606,38.49309
5,0,0,0,0
5,0,0,0,0
3,0,397,0.9206024,52.58077
4,0,156,-3.031205,35.11453
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
3,0,165,-0.03299996,34.50973
4,0,0,0,0
6,0,121,-2.024204,32.78785
7,0,0,0,0
7,0,0,0,0
4,0,157,-0.03139996,33.90004
4,0,252,0.9496012,44.58781
6,0,124,-4.024775,32.30931
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
5,0,128,-4.025574,31.5529
6,0,0,0,0
6,0,0,0,0
6,0,0,0,0
6,0,0,0,0
4,0,420,0.4159993,59.08686
3,0,177,-0.03539995,35.99135
5,0,192,-3.038406,37.6776
6,0,0,0,0
6,0,0,0,0
6,0,0,0,0
2,0,210,0.4579998,40.26433
6,0,181,-1.036206,37.76337
7,0,0,0,0
4,0,142,-0.02839997,33.95335
3,0,358,-1.571612,49.90025
4,0,0,0,0
4,0,0,0,0
4,0,275,0.4449997,47.24578
5,0,0,0,0
7,0,161,-2.032205,35.83299
8,0,0,0,0
8,0,0,0,0
4,0,171,-1.034206,34.00155
5,0,0,0,0
5,0,185,-0.03699995,37.64539
6,0,0,0,0
5,0,255,-2.051008,44.95752
5,0,196,0.4607998,40.90894
6,0,0,0,0
7,0,159,-4.031767,33.05256
8,0,0,0,0
